"list_id","display_id","condition","target_object","modal","target_image","competitor_image","other1_image","other2_image","LT","RT","LB","RB","item_id","list_name","trial_in_list","variant","color_pair","marble_orientation","wheel_option","sentence","instruction","mentioned_color","mentioned_color_word","target_loc","competitor_loc"
2,11,"exp","basket","some","basket_2-3_p-y","basket_5_y","vase_2-3_p-y","vase_5_y","basket_5_y","vase_5_y","basket_2-3_p-y","vase_2-3_p-y","11_basket","List2",1,"V2","p-y","p->y","same","In the |basket, some of the flowers are pink.","In the |basket, |some of the flowers are |pink.","p","pink","LB","LT"
2,11,"exp","vase","none","vase_5_y","vase_2-3_p-y","basket_5_y","basket_2-3_p-y","vase_5_y","basket_5_y","vase_2-3_p-y","basket_2-3_p-y","11_vase","List2",2,"V2","p-y","p->y","same","In the |vase, none of the flowers are pink.","In the |vase, |none of the flowers are |pink.","p","pink","LT","LB"
2,6,"exp","basket","notall","basket_2-3_p-b","basket_5_b","vase_2-3_b-p","vase_5_p","basket_2-3_p-b","vase_2-3_b-p","basket_5_b","vase_5_p","6_basket","List2",3,"V2","b-p","b->p","flipped","In the |basket, not all of the flowers are blue.","In the |basket, |not all of the flowers are |blue.","b","blue","LT","LB"
2,6,"exp","vase","all","vase_5_p","vase_2-3_b-p","basket_5_b","basket_2-3_p-b","basket_2-3_p-b","vase_2-3_b-p","basket_5_b","vase_5_p","6_vase","List2",4,"V2","b-p","b->p","flipped","In the |vase, all of the flowers are pink.","In the |vase, |all of the flowers are |pink.","p","pink","RB","RT"
2,12,"exp","basket","none","basket_5_p","basket_2-3_y-p","vase_5_y","vase_2-3_p-y","vase_5_y","basket_5_p","vase_2-3_p-y","basket_2-3_y-p","12_basket","List2",5,"V2","p-y","p->y","flipped","In the |basket, none of the flowers are yellow.","In the |basket, |none of the flowers are |yellow.","y","yellow","RT","RB"
2,12,"exp","vase","some","vase_2-3_p-y","vase_5_y","basket_2-3_y-p","basket_5_p","basket_5_p","vase_5_y","basket_2-3_y-p","vase_2-3_p-y","12_vase","List2",6,"V2","p-y","p->y","flipped","In the |vase, some of the flowers are pink.","In the |vase, |some of the flowers are |pink.","p","pink","RB","RT"
2,9,"exp","basket","all","basket_5_p","basket_2-3_y-p","vase_5_p","vase_2-3_y-p","basket_2-3_y-p","vase_2-3_y-p","basket_5_p","vase_5_p","9_basket","List2",7,"V2","p-y","y->p","same","In the |basket, all of the flowers are pink.","In the |basket, |all of the flowers are |pink.","p","pink","LB","LT"
2,9,"exp","vase","notall","vase_2-3_y-p","vase_5_p","basket_2-3_y-p","basket_5_p","vase_5_p","basket_5_p","vase_2-3_y-p","basket_2-3_y-p","9_vase","List2",8,"V2","p-y","y->p","same","In the |vase, not all of the flowers are pink.","In the |vase, |not all of the flowers are |pink.","p","pink","LB","LT"
2,3,"exp","basket","some","basket_2-3_y-b","basket_5_b","vase_2-3_y-b","vase_5_b","basket_2-3_y-b","vase_2-3_y-b","basket_5_b","vase_5_b","3_basket","List2",9,"V2","b-y","y->b","same","In the |basket, some of the flowers are yellow.","In the |basket, |some of the flowers are |yellow.","y","yellow","LT","LB"
2,3,"exp","vase","none","vase_5_b","vase_2-3_y-b","basket_5_b","basket_2-3_y-b","basket_2-3_y-b","vase_2-3_y-b","basket_5_b","vase_5_b","3_vase","List2",10,"V2","b-y","y->b","same","In the |vase, none of the flowers are yellow.","In the |vase, |none of the flowers are |yellow.","y","yellow","RB","RT"
2,4,"exp","basket","notall","basket_2-3_b-y","basket_5_y","vase_2-3_y-b","vase_5_b","vase_2-3_y-b","basket_2-3_b-y","vase_5_b","basket_5_y","4_basket","List2",11,"V2","b-y","y->b","flipped","In the |basket, not all of the flowers are yellow.","In the |basket, |not all of the flowers are |yellow.","y","yellow","RT","RB"
2,4,"exp","vase","all","vase_5_b","vase_2-3_y-b","basket_5_y","basket_2-3_b-y","basket_5_y","vase_5_b","basket_2-3_b-y","vase_2-3_y-b","4_vase","List2",12,"V2","b-y","y->b","flipped","In the |vase, all of the flowers are blue.","In the |vase, |all of the flowers are |blue.","b","blue","RT","RB"
2,5,"exp","basket","none","basket_5_p","basket_2-3_b-p","vase_5_p","vase_2-3_b-p","basket_2-3_b-p","vase_2-3_b-p","basket_5_p","vase_5_p","5_basket","List2",13,"V2","b-p","b->p","same","In the |basket, none of the flowers are blue.","In the |basket, |none of the flowers are |blue.","b","blue","LB","LT"
2,5,"exp","vase","some","vase_2-3_b-p","vase_5_p","basket_2-3_b-p","basket_5_p","basket_2-3_b-p","vase_2-3_b-p","basket_5_p","vase_5_p","5_vase","List2",14,"V2","b-p","b->p","same","In the |vase, some of the flowers are blue.","In the |vase, |some of the flowers are |blue.","b","blue","RT","RB"
2,1,"exp","basket","all","basket_5_y","basket_2-3_b-y","vase_5_y","vase_2-3_b-y","basket_5_y","vase_5_y","basket_2-3_b-y","vase_2-3_b-y","1_basket","List2",15,"V2","b-y","b->y","same","In the |basket, all of the flowers are yellow.","In the |basket, |all of the flowers are |yellow.","y","yellow","LT","LB"
2,1,"exp","vase","notall","vase_2-3_b-y","vase_5_y","basket_2-3_b-y","basket_5_y","basket_5_y","vase_5_y","basket_2-3_b-y","vase_2-3_b-y","1_vase","List2",16,"V2","b-y","b->y","same","In the |vase, not all of the flowers are yellow.","In the |vase, |not all of the flowers are |yellow.","y","yellow","RB","RT"
