"Participant","DisplayID","Polarity","Type","Window","Bin","Target","Total","elog","Time"
1643820476,12,"Pos","Prag","Critical",3800,0,2,-1.6094379124341,0.7
1643820476,12,"Pos","Prag","Critical",3900,0,2,-1.6094379124341,0.8
1643820476,12,"Pos","Prag","Critical",4000,0,2,-1.6094379124341,0.9
1643820476,12,"Pos","Prag","Critical",4100,0,3,-1.94591014905531,1
1643820476,13,"Neg","Sem","Critical",3100,0,2,-1.6094379124341,0
1643820476,13,"Neg","Sem","Critical",3200,1,2,0,0.1
1643820476,13,"Neg","Sem","Critical",3300,1,2,0,0.2
1643820476,13,"Neg","Sem","Critical",3400,2,2,1.6094379124341,0.3
1643820476,13,"Neg","Sem","Critical",3500,1,2,0,0.4
1643820476,13,"Neg","Sem","Critical",3600,1,1,1.09861228866811,0.5
1643820476,13,"Neg","Sem","Critical",3700,1,2,0,0.6
1643820476,13,"Neg","Sem","Critical",3800,1,3,-0.510825623765991,0.7
1643820476,13,"Neg","Sem","Critical",3900,1,2,0,0.8
1643820476,13,"Neg","Sem","Critical",4000,1,2,0,0.9
1643820476,13,"Neg","Sem","Critical",4100,1,1,1.09861228866811,1
1643820476,14,"Pos","Sem","Critical",3100,0,2,-1.6094379124341,0
1643820476,14,"Pos","Sem","Critical",3200,0,2,-1.6094379124341,0.1
1643820476,14,"Pos","Sem","Critical",3300,0,2,-1.6094379124341,0.2
1643820476,14,"Pos","Sem","Critical",3400,0,2,-1.6094379124341,0.3
1643820476,14,"Pos","Sem","Critical",3500,0,2,-1.6094379124341,0.4
1643820476,14,"Pos","Sem","Critical",3600,0,2,-1.6094379124341,0.5
1643820476,14,"Pos","Sem","Critical",3700,1,3,-0.510825623765991,0.6
1643820476,14,"Pos","Sem","Critical",3800,2,2,1.6094379124341,0.7
1643820476,14,"Pos","Sem","Critical",3900,1,2,0,0.8
1643820476,14,"Pos","Sem","Critical",4000,0,2,-1.6094379124341,0.9
1643820476,14,"Pos","Sem","Critical",4100,1,2,0,1
1643820476,15,"Neg","Prag","Critical",3100,0,3,-1.94591014905531,0
1643820476,15,"Neg","Prag","Critical",3200,0,2,-1.6094379124341,0.1
1643820476,15,"Neg","Prag","Critical",3300,1,2,0,0.2
1643820476,15,"Neg","Prag","Critical",3400,2,2,1.6094379124341,0.3
1643820476,15,"Neg","Prag","Critical",3500,3,3,1.94591014905531,0.4
1643820476,15,"Neg","Prag","Critical",3600,2,2,1.6094379124341,0.5
1643820476,15,"Neg","Prag","Critical",3700,2,2,1.6094379124341,0.6
1643820476,15,"Neg","Prag","Critical",3800,2,2,1.6094379124341,0.7
1643820476,15,"Neg","Prag","Critical",3900,2,2,1.6094379124341,0.8
1643820476,15,"Neg","Prag","Critical",4000,2,2,1.6094379124341,0.9
1643820476,15,"Neg","Prag","Critical",4100,2,3,0.510825623765991,1
1643820476,17,"Neg","Prag","Critical",3100,0,2,-1.6094379124341,0
1643820476,17,"Neg","Prag","Critical",3200,0,2,-1.6094379124341,0.1
1643820476,17,"Neg","Prag","Critical",3300,0,3,-1.94591014905531,0.2
1643820476,17,"Neg","Prag","Critical",3400,0,2,-1.6094379124341,0.3
1643820476,17,"Neg","Prag","Critical",3500,0,2,-1.6094379124341,0.4
1643820476,17,"Neg","Prag","Critical",3600,0,2,-1.6094379124341,0.5
1643820476,17,"Neg","Prag","Critical",3700,0,2,-1.6094379124341,0.6
1643820476,17,"Neg","Prag","Critical",3800,0,2,-1.6094379124341,0.7
1643820476,17,"Neg","Prag","Critical",3900,0,2,-1.6094379124341,0.8
1643820476,17,"Neg","Prag","Critical",4000,0,2,-1.6094379124341,0.9
1643820476,17,"Neg","Prag","Critical",4100,0,2,-1.6094379124341,1
1643820476,19,"Neg","Sem","Critical",3100,3,3,1.94591014905531,0
1643820476,19,"Neg","Sem","Critical",3200,1,1,1.09861228866811,0.1
1643820476,19,"Neg","Sem","Critical",3300,2,2,1.6094379124341,0.2
1643820476,19,"Neg","Sem","Critical",3400,2,2,1.6094379124341,0.3
1643820476,19,"Neg","Sem","Critical",3500,2,2,1.6094379124341,0.4
1643820476,19,"Neg","Sem","Critical",3600,2,2,1.6094379124341,0.5
1643820476,19,"Neg","Sem","Critical",3700,2,2,1.6094379124341,0.6
1643820476,19,"Neg","Sem","Critical",3800,1,2,0,0.7
1643820476,19,"Neg","Sem","Critical",3900,1,2,0,0.8
1643820476,19,"Neg","Sem","Critical",4000,2,2,1.6094379124341,0.9
1643820476,19,"Neg","Sem","Critical",4100,2,2,1.6094379124341,1
1643820476,20,"Neg","Prag","Critical",3100,3,3,1.94591014905531,0
1643820476,20,"Neg","Prag","Critical",3200,1,2,0,0.1
1643820476,20,"Neg","Prag","Critical",3300,2,2,1.6094379124341,0.2
1643820476,20,"Neg","Prag","Critical",3400,1,1,1.09861228866811,0.3
1643820476,20,"Neg","Prag","Critical",3500,2,3,0.510825623765991,0.4
1643820476,20,"Neg","Prag","Critical",3600,2,2,1.6094379124341,0.5
1643820476,20,"Neg","Prag","Critical",3700,2,2,1.6094379124341,0.6
1643820476,20,"Neg","Prag","Critical",3800,2,2,1.6094379124341,0.7
1643820476,20,"Neg","Prag","Critical",3900,3,3,1.94591014905531,0.8
1643820476,20,"Neg","Prag","Critical",4000,0,2,-1.6094379124341,0.9
1643820476,20,"Neg","Prag","Critical",4100,0,2,-1.6094379124341,1
1643820476,22,"Neg","Sem","Critical",3100,0,2,-1.6094379124341,0
1643820476,22,"Neg","Sem","Critical",3200,0,2,-1.6094379124341,0.1
